-123.0009969 42.9403404 -74.1
-122.9988298 42.5388464 -71.58
-122.9973168 41.455526 -83.7
-122.9973168 41.455526 -83.74
-122.9969964 42.8105096 -71.79
-122.9968192 41.8243549 -138.35
-122.9968227 42.1816831 -80.34
-122.9968227 42.181847 -80.42
-122.9951442 41.0053642 -100.09
-122.9949842 41.0051962 -100.11
-122.9943069 41.3951929 -96.16
-122.9943069 41.3951929 -96.17
-122.9941585 42.5055144 -65.71
-122.9940067 42.9765068 -81.19
-122.9914767 41.205029 -103.27
-122.9914767 41.205029 -103.27
-122.9904951 42.7231806 -64.84
-122.9896473 41.6795246 -118.2
-122.9894824 42.0985162 -90.65
-122.9894824 42.0985162 -90.64
-122.9894773 41.6795246 -118.26
-122.9894768 41.4001938 -96.25
-122.9894768 41.4003618 -96.26
-122.9879899 42.5556775 -69.42
-122.987807 41.6381893 -112.67
-122.987807 41.6383573 -112.64
-122.9843361 42.8720095 -72.59
-122.9824769 41.6380254 -112.95
-122.9824769 41.6380254 -112.97
-122.9810061 42.9301745 -74.61
-122.9778165 41.5816914 -104.83
-122.9778165 41.5816914 -104.81
-122.9778166 41.6001921 -104.53
-122.9778166 41.6001921 -104.52
-122.9741462 41.5233585 -105.09
-122.9739762 41.5231945 -105.16
-122.9739763 41.5556909 -105.53
-122.9739733 41.0011985 -103.7
-122.9728063 41.5560269 -105.64
-122.9728063 41.5560269 -105.68
-122.9728063 41.3791944 -106.27
-122.9728063 41.3791944 -106.31
-122.9725054 42.8265123 -72.39
-122.9714905 41.9326868 -119.47
-122.9711444 41.0906955 -97.91
-122.9709744 41.0906955 -97.98
-122.9703161 41.4156938 -112.86
-122.9703161 41.4158608 -112.88
-122.9676533 42.3143462 -71.11
-122.9674832 42.3141822 -71.15
-122.9658279 42.5166797 -69.24
-122.96483 42.5901778 -72.52
-122.9644946 42.7438448 -69.6
-122.9628182 41.8216895 -135.04
-122.9628182 41.8218535 -135.08
-122.9628163 41.6240259 -111.12
-122.9628163 41.6240259 -111.1
-122.9628159 41.4225288 -115.08
-122.9628159 41.4225288 -115.08
-122.9558352 42.9283434 -73.86
-122.9551654 42.9753435 -82.66
-122.9549893 42.5785129 -70.65
-122.9534757 41.3138618 -118.46
-122.9531601 42.6080119 -75.18
-122.9528159 41.5728609 -106.81
-122.9528159 41.5730249 -106.85
-122.951817 41.7756888 -127.8
-122.951817 41.7756888 -127.84
-122.951661 42.6418439 -76.13
-122.9516444 41.1520318 -107.38
-122.9514744 41.1520318 -106.96
-122.9501525 42.3080145 -71.28
